Dataset,Seed,Accuracy,Weighted F1
DuckDuckGeese,19,0.4,0.2886780518659076
ERing,0,0.8666666666666667,0.8657008110001678
ERing,1,0.8666666666666667,0.8657008110001678
ERing,2,0.8666666666666667,0.8657008110001678
ERing,3,0.8666666666666667,0.8657008110001678
ERing,4,0.8666666666666667,0.8657008110001678
ERing,5,0.8666666666666667,0.8657008110001678
ERing,6,0.8666666666666667,0.8657008110001678
ERing,7,0.8666666666666667,0.8657008110001678
ERing,8,0.8666666666666667,0.8657008110001678
ERing,9,0.8666666666666667,0.8657008110001678
ERing,10,0.8666666666666667,0.8657008110001678
ERing,11,0.8666666666666667,0.8657008110001678
ERing,12,0.8666666666666667,0.8657008110001678
ERing,13,0.8666666666666667,0.8657008110001678
ERing,14,0.8666666666666667,0.8657008110001678
ERing,15,0.8666666666666667,0.8657008110001678
ERing,16,0.8666666666666667,0.8657008110001678
ERing,17,0.8666666666666667,0.8657008110001678
ERing,18,0.8666666666666667,0.8657008110001678
ERing,19,0.8666666666666667,0.8657008110001678
EigenWorms,0,0.8931297709923665,0.8859566787087606
EigenWorms,1,0.8931297709923665,0.8859566787087606
EigenWorms,2,0.8931297709923665,0.8859566787087606
EigenWorms,3,0.8931297709923665,0.8859566787087606
EigenWorms,4,0.8931297709923665,0.8859566787087606
EigenWorms,5,0.8931297709923665,0.8859566787087606
EigenWorms,6,0.8931297709923665,0.8859566787087606
EigenWorms,7,0.8931297709923665,0.8859566787087606
EigenWorms,8,0.8931297709923665,0.8859566787087606
EigenWorms,9,0.8931297709923665,0.8859566787087606
EigenWorms,10,0.8931297709923665,0.8859566787087606
EigenWorms,11,0.8931297709923665,0.8859566787087606
EigenWorms,12,0.8931297709923665,0.8859566787087606
EigenWorms,13,0.8931297709923665,0.8859566787087606
EigenWorms,14,0.8931297709923665,0.8859566787087606
EigenWorms,15,0.8931297709923665,0.8859566787087606
EigenWorms,16,0.8931297709923665,0.8859566787087606
EigenWorms,17,0.8931297709923665,0.8859566787087606
EigenWorms,18,0.8931297709923665,0.8859566787087606
EigenWorms,19,0.8931297709923665,0.8859566787087606
Epilepsy,0,0.9637681159420288,0.9637392746412864
Epilepsy,1,0.9637681159420288,0.9637392746412864
Epilepsy,2,0.9637681159420288,0.9637392746412864
Epilepsy,3,0.9637681159420288,0.9637392746412864
Epilepsy,4,0.9637681159420288,0.9637392746412864
Epilepsy,5,0.9637681159420288,0.9637392746412864
Epilepsy,6,0.9637681159420288,0.9637392746412864
Epilepsy,7,0.9637681159420288,0.9637392746412864
Epilepsy,8,0.9637681159420288,0.9637392746412864
Epilepsy,9,0.9637681159420288,0.9637392746412864
Epilepsy,10,0.9637681159420288,0.9637392746412864
Epilepsy,11,0.9637681159420288,0.9637392746412864
Epilepsy,12,0.9637681159420288,0.9637392746412864
Epilepsy,13,0.9637681159420288,0.9637392746412864
Epilepsy,14,0.9637681159420288,0.9637392746412864
Epilepsy,15,0.9637681159420288,0.9637392746412864
Epilepsy,16,0.9637681159420288,0.9637392746412864
Epilepsy,17,0.9637681159420288,0.9637392746412864
Epilepsy,18,0.9637681159420288,0.9637392746412864
Epilepsy,19,0.9637681159420288,0.9637392746412864
EthanolConcentration,0,0.4144486692015209,0.4011808252966155
EthanolConcentration,1,0.4144486692015209,0.4011808252966155
EthanolConcentration,2,0.4144486692015209,0.4011808252966155
EthanolConcentration,3,0.4144486692015209,0.4011808252966155
EthanolConcentration,4,0.4144486692015209,0.4011808252966155
EthanolConcentration,5,0.4144486692015209,0.4011808252966155
EthanolConcentration,6,0.4144486692015209,0.4011808252966155
EthanolConcentration,7,0.4144486692015209,0.4011808252966155
