Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,652.5936805997044,411.84212618507445,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,654.8924692962319,412.3939348310232,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,657.854840496555,413.3815733846277,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,3,652.9157867357135,413.10611673630774,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,4,655.0869204178452,413.6055525597185,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,654.029815742746,411.455203352496,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,653.808645343408,413.0789798311889,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,654.6734532658011,411.97185065224767,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,8,657.5619750823826,413.042965631932,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,655.2669066898525,414.1547757871449,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,656.0704697165638,414.0131369382143,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,656.094888644293,415.74559929966927,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,657.2634139806032,415.4064399432391,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,13,654.722029786557,415.6233311314136,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,14,656.8480682764202,415.26609368622303,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,656.3140742518008,415.94843858480453,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,16,656.9441055506468,416.8580681178719,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,17,656.1397300828248,416.1725247669965,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,18,655.9011604301631,416.63593897596,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,19,657.0323279220611,417.67881209403276,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,23.77700093947351,13.719124268740416,0.13333333333333333,0.1346153846153846
AtrialFibrillation,1,22.977230632677674,13.618339121341705,0.06666666666666667,0.05128205128205129
AtrialFibrillation,2,23.047920988872647,14.00315292738378,0.2,0.12499999999999999
AtrialFibrillation,3,23.305627083405852,13.649640038609505,0.13333333333333333,0.10683760683760685
AtrialFibrillation,4,22.912811124697328,13.984509022906423,0.06666666666666667,0.05128205128205129
AtrialFibrillation,5,22.88630842231214,13.953159864991903,0.2,0.1558441558441558
AtrialFibrillation,6,22.85845889337361,13.604807745665312,0.06666666666666667,0.05128205128205129
AtrialFibrillation,7,22.72339298017323,13.83337015658617,0.06666666666666667,0.05128205128205129
AtrialFibrillation,8,23.20329670421779,13.68098894879222,0.2,0.13333333333333333
AtrialFibrillation,9,23.403733206912875,13.690099190920591,0.06666666666666667,0.05128205128205129
AtrialFibrillation,10,22.62063098885119,13.638138053938746,0.2,0.16317016317016317
AtrialFibrillation,11,23.451062873005867,14.117015758529305,0.06666666666666667,0.05128205128205129
AtrialFibrillation,12,22.84132120013237,13.979896951466799,0.26666666666666666,0.23611111111111113
AtrialFibrillation,13,23.17307392321527,13.814153516665101,0.13333333333333333,0.14652014652014653
AtrialFibrillation,14,23.209043534472585,13.982844879850745,0.2,0.222999222999223
AtrialFibrillation,15,23.32448941282928,13.810765782371163,0.13333333333333333,0.1111111111111111
AtrialFibrillation,16,23.57672557979822,14.128230696544051,0.06666666666666667,0.05128205128205129
AtrialFibrillation,17,22.990154793486,13.800340866670012,0.13333333333333333,0.08333333333333334
