Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,645.891269005835,401.6857398711145,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,1,645.8360836170614,405.3935077469796,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,2,649.7624908871949,403.3889794126153,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,3,646.4983296263963,403.33058015443385,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,4,653.0520714949816,407.73338090255857,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,5,649.4202211592346,404.42392039485276,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,6,650.0128301139921,408.3110466711223,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,7,650.5630543269217,404.0993613116443,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,8,650.3425297569484,407.51151318848133,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,9,667.724401852116,413.73807550780475,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,10,664.9728224612772,417.8222338873893,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,11,666.2627784609795,418.06902772188187,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,12,669.3051062636077,417.87380266934633,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,13,664.6223822403699,418.6374180112034,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,14,668.488834599033,418.4742419999093,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,15,668.5378265567124,419.58670780994,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,16,668.6068694200367,420.6619419232011,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,17,669.7717651762068,418.7108062226325,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,18,666.9651514720172,418.87373697571456,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,19,668.8792979866266,421.21014052443206,0.9833333333333333,0.9831462450592888
AtrialFibrillation,0,22.32010911591351,12.477728245779872,0.4,0.3563492063492063
AtrialFibrillation,1,21.539083259180188,12.170288536697626,0.3333333333333333,0.27777777777777773
AtrialFibrillation,2,21.589350471273065,12.442833023145795,0.26666666666666666,0.22377622377622378
AtrialFibrillation,3,21.471042957156897,12.42460136860609,0.4,0.3945868945868946
AtrialFibrillation,4,21.537563297897577,12.548723103478551,0.4666666666666667,0.44047619047619047
AtrialFibrillation,5,22.01240947842598,12.397568246349692,0.2,0.20555555555555555
AtrialFibrillation,6,21.330322943627834,12.720637930557132,0.2,0.16317016317016317
AtrialFibrillation,7,21.77621079236269,12.526343552395701,0.3333333333333333,0.3119047619047619
AtrialFibrillation,8,22.012970998883247,12.549416448920965,0.2,0.1619047619047619
AtrialFibrillation,9,21.897689329460263,12.385951664298773,0.3333333333333333,0.3185185185185186
AtrialFibrillation,10,21.67514662630856,12.571947395801544,0.26666666666666666,0.2
AtrialFibrillation,11,21.60484437830746,12.768187204375863,0.13333333333333333,0.11188811188811189
